,CTRL_01112018,Ctrl_02072022,IBS.001,IBS.002,IBS.003,IBS.004,IBS.005,IBS.007,IBS.008,IBS.010,IBS.011,IBS.012,IBS.013,IBS.014,IBS.015,IBS.016,IBS.017,IBS.018,IBS.019,IBS.020,IBS.021,IBS.022,IBS.023,IBS.028,IBS.029,IBS.030,IBS.031,IBS.034,IBS.036,IBS.037,IBS.038,IBS.039,IBS.040_02262018,IBS.041,IBS.042,IBS.045,IBS.046,IBS.048,IBS.049,IBS.052,IBS.054,IBS.057,IBS.058,IBS.060,IBS.061,IBS.062,IBS.063,IBS.065,IBS.066,IBS.068,IBS.070,IBS.071,IBS.072,IBS.073,IBS.075,IBS.076,IBS.077,IBS.078,IBS.079,IBS.080
Eubacterium_ramulus,0,0,0,0,0.00398000039800004,1.44314985568501,0.0463699860890042,0.450009909998018,0.00095,0,0,0.239730023973002,0.0372199888340034,0.0305299847350076,0,0,0,0.850119829976034,0.0840700168140034,0,0.0449999955000004,0.0405399756760146,0,0,0,0,0.125249987475001,0.01947,0.0174800017480002,0,0,0.0468000093600019,0,0,0.0377899924420015,0,0.0100499989950001,0,0,0,0,0.0382000038200004,0,0,0.110550022110004,0.24075987962006,0,0,0.146690014669001,0,0,0.00564999943500006,0.11647,0,0.0381299961870004,0,0.024130004826001,0.0262300026230003,0.00319000063800013,0
Eubacterium_sp_An11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478099952190005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium_sp_CAG_180,0,5.45752163725649,0,0,0,24.2913775708622,6.34055809783257,0.00797999840400032,0.0044,0,1.01703,0,0,0.171819914090043,0,0,0,0,0,0,0,0,0,0,0.00350999859600056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226999909200036,1.02805948597026,0.00488999853300044,13.6147313614731,0,0,0,0,0.0126799961960011,0,0.00221000022100002,0.00396000079200016,0,0.00147999985200001,0,0.00917,10.1170989882901,0,0.00196000039200008,0.000720000072000007,0.352260070452014,0.00154000030800006
Eubacterium_sp_CAG_251,0,0,0,0,0,0,0,0,0,0,0,0,0.751599774520068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923480184696037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0670396798881,0,0,0,0,2.50654974934502,0,0,0,0,0,1.08498010849801,0,0
Eubacterium_sp_CAG_274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140739943704023,0,0,0,0,0,0,0,0,0,0.00604999939500006,0,0,0,0,0,0,0.234430164101115,0,0.0893800178760036,0,0,0,0,0,0,0.00224999977500002,0,0,0,0.0451299909740018,0,0,0,0
Eubacterium_sp_CAG_38,0,0,0,0,0,0.0246499975350002,0.0315999905200028,0,0,0,0,0,0,0.00492999753500123,0,0.171730017173002,0,0,0,0,0,0,0,0,0.00118999952400019,0,0,0,0,0,0,0,0,0,0.209099958180008,0,0,0,0.0151399939440024,0.0612399693800153,0,0.0156500015650002,0,0,0.0359800071960014,0,0,0.0725800217740065,0.0316300031630003,0.294310058862012,0,0,0,0,0.00179999982000002,0,0.099170019834004,0.0193200019320002,0.0603800120760024,0
Eubacterium_sp_CAG_786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410899794550103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium_sp_OM08_24,0,0,0,0,0,0,0.00229999931000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium_ventriosum,0,0,0.0700800070080007,0.303579878568049,0.150050015005002,0.136469986353001,0.131929960421012,0,0.10203,0,0.07814,0.0894900089490009,0.0917299724810083,0.0116399941800029,0.0350099894970032,0,0,0,0.197400039480008,0.652870065287007,0.00683999931600007,0,0,0.206170020617002,0,0.213179914728034,0.0352499964750004,0,0,0,0,0,0,0,0,0,0.0151899984810002,0,0,0.0673199663400168,0,0.00603000060300006,0,0,0.164400032880007,0.0212099893950053,0,0,0,0,0,0.00826999917300008,0.21461,0,0.00790999920900008,0,0.122920024584005,0.206670020667002,0,0
Mageeibacillus_indolicus,0,0,0,0,0,0,0,0,0,0.02807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
